Control_Word,Category,Action,Function
_,Special Characters,Symbol,null
-,Special Characters,Symbol,null
:,Special Characters,Symbol,null
',Special Characters,Symbol,null
{,Special Characters,Symbol,null
},Special Characters,Symbol,null
*,Special Characters,Symbol,null
\,Special Characters,Symbol,null
|,Special Characters,Symbol,null
~,Special Characters,Symbol,null
ab,Associated Character Properties,Toggle,toggle
absh,Positioned Objects and Frames,Value,null
abslock,Positioned Objects and Frames,Flag,null
absnoovrlp,Positioned Objects and Frames,Toggle,toggle
absw,Positioned Objects and Frames,Value,null
acaps,Associated Character Properties,Toggle,toggle
acccircle,Font (Character) Formatting Properties,Toggle,toggle
acccomma,Font (Character) Formatting Properties,Toggle,toggle
accdot,Font (Character) Formatting Properties,Toggle,toggle
accnone,Font (Character) Formatting Properties,Toggle,toggle
accunderdot,Font (Character) Formatting Properties,Toggle,toggle
acf,Associated Character Properties,Value,null
additive,Style Sheet,Flag,null
adjustright,Section Formatting Properties,Flag,null
adn,Associated Character Properties,Value,null
aenddoc,Document Formatting Properties,Flag,null
aendnotes,Document Formatting Properties,Flag,null
aexpnd,Associated Character Properties,Value,null
af,Associated Character Properties,Value,null
afelev,Document Formatting Properties,Flag,null
affixed,Paragraph Formatting Properties,Flag,null
afs,Associated Character Properties,Value,null
aftnbj,Document Formatting Properties,Flag,null
aftncn,Document Formatting Properties,Destination,null
aftnnalc,Document Formatting Properties,Flag,null
aftnnar,Document Formatting Properties,Flag,null
aftnnauc,Document Formatting Properties,Flag,null
aftnnchi,Document Formatting Properties,Flag,null
aftnnchosung,Document Formatting Properties,Flag,null
aftnncnum,Document Formatting Properties,Flag,null
aftnndbar,Document Formatting Properties,Flag,null
aftnndbnum,Document Formatting Properties,Flag,null
aftnndbnumd,Document Formatting Properties,Flag,null
aftnndbnumk,Document Formatting Properties,Flag,null
aftnndbnumt,Document Formatting Properties,Flag,null
aftnnganada,Document Formatting Properties,Flag,null
aftnngbnum,Document Formatting Properties,Flag,null
aftnngbnumd,Document Formatting Properties,Flag,null
aftnngbnumk,Document Formatting Properties,Flag,null
aftnngbnuml,Document Formatting Properties,Flag,null
aftnnrlc,Document Formatting Properties,Flag,null
aftnnruc,Document Formatting Properties,Flag,null
aftnnzodiac,Document Formatting Properties,Flag,null
aftnnzodiacd,Document Formatting Properties,Flag,null
aftnnzodiacl,Document Formatting Properties,Flag,null
aftnrestart,Document Formatting Properties,Flag,null
aftnrstcont,Document Formatting Properties,Flag,null
aftnsep,Document Formatting Properties,Destination,null
aftnsepc,Document Formatting Properties,Destination,null
aftnstart,Document Formatting Properties,Value,null
aftntj,Document Formatting Properties,Flag,null
ai,Associated Character Properties,Toggle,toggle
alang,Associated Character Properties,Value,null
allowfieldendsel,Document Formatting Properties,Flag,null
allprot,Document Formatting Properties,Flag,null
alntblind,Document Formatting Properties,Flag,null
alt,Style Sheet,Flag,null
animtext,Font (Character) Formatting Properties,Value,null
annotation,Comments (Annotations),Destination,null
annotprot,Document Formatting Properties,Flag,null
ansi,Character Set,Flag,null
ansicpg,Unicode RTF,Value,null
aoutl,Associated Character Properties,Toggle,toggle
ApplyBrkRules,Document Formatting Properties,Flag,null
ascaps,Associated Character Properties,Toggle,toggle_emph
ashad,Associated Character Properties,Toggle,toggle
asianbrkrule,Document Formatting Properties,Flag,null
aspalpha,Paragraph Formatting Properties,Toggle,null
aspnum,Paragraph Formatting Properties,Toggle,null
astrike,Associated Character Properties,Toggle,toggle
atnauthor,Comments (Annotations),Destination,null
atndate,Comments (Annotations),Destination,null
atnicn,Comments (Annotations),Destination,null
atnid,Comments (Annotations),Destination,null
atnparent,Comments (Annotations),Destination,null
atnref,Comments (Annotations),Destination,null
atntime,Comments (Annotations),Destination,null
atrfend,Comments (Annotations),Destination,null
atrfstart,Comments (Annotations),Destination,null
aul,Associated Character Properties,Toggle,toggle
auld,Associated Character Properties,Toggle,toggle
auldb,Associated Character Properties,Toggle,toggle
aulnone,Associated Character Properties,Toggle,toggle
aulw,Associated Character Properties,Toggle,toggle
aup,Associated Character Properties,Value,null
author,Information Group,Destination,null
autofmtoverride,Document Formatting Properties,Flag,null
b,Font (Character) Formatting Properties,Toggle,toggle_emph
background,Word through Word RTF for Drawing Objects (Shades),Destination,null
bdbfhdr,Document Formatting Properties,Flag,null
bdrrlswsix,Document Formatting Properties,Flag,null
bgbdiag,Paragraph Shading,Flag,null
bgcross,Paragraph Shading,Flag,null
bgdcross,Paragraph Shading,Flag,null
bgdkbdiag,Paragraph Shading,Flag,null
bgdkcross,Paragraph Shading,Flag,null
bgdkdcross,Paragraph Shading,Flag,null
bgdkfdiag,Paragraph Shading,Flag,null
bgdkhoriz,Paragraph Shading,Flag,null
bgdkvert,Paragraph Shading,Flag,null
bgfdiag,Paragraph Shading,Flag,null
bghoriz,Paragraph Shading,Flag,null
bgvert,Paragraph Shading,Flag,null
bin,Pictures,Value,null
binfsxn,Section Formatting Properties,Value,null
binsxn,Section Formatting Properties,Value,null
bkmkcolf,Bookmarks,Value,null
bkmkcoll,Bookmarks,Value,null
bkmkend,Bookmarks,Destination,null
bkmkpub,Macintosh Edition Manager Publisher Objects,Flag,null
bkmkstart,Bookmarks,Destination,null
bliptag,Pictures,Value,null
blipuid,Pictures,Value,null
blipupi,Pictures,Value,null
blue,Color Table,Value,null
bookfold,Document Formatting Properties,Flag,null
bookfoldrev,Document Formatting Properties,Flag,null
bookfoldsheets,Document Formatting Properties,Value,null
box,Paragraph Borders,Flag,null
brdrart,Document Formatting Properties,Value,null
brdrb,Paragraph Borders,Flag,null
brdrbar,Paragraph Borders,Flag,null
brdrbtw,Paragraph Borders,Flag,null
brdrcf,Paragraph Borders,Value,null
brdrdash,Paragraph Borders,Flag,null
brdrdashd,Paragraph Text,Flag,null
brdrdashdd,Paragraph Text,Flag,null
brdrdashdotstr,Paragraph Text,Flag,null
brdrdashsm,Paragraph Text,Flag,null
brdrdb,Paragraph Borders,Flag,null
brdrdot,Paragraph Borders,Flag,null
brdremboss,Paragraph Text,Flag,null
brdrengrave,Paragraph Text,Flag,null
brdrframe,Paragraph Borders,Flag,null
brdrhair,Paragraph Borders,Flag,null
brdrinset,Paragraph Text,Flag,null
brdrl,Paragraph Borders,Flag,null
brdrnil,Paragraph Borders,Flag,null
brdroutset,Paragraph Text,Flag,null
brdrr,Paragraph Borders,Flag,null
brdrs,Paragraph Borders,Flag,null
brdrsh,Paragraph Borders,Flag,null
brdrt,Paragraph Borders,Flag,null
brdrtbl,Paragraph Borders,Flag,null
brdrth,Paragraph Borders,Flag,null
brdrthtnlg,Paragraph Text,Flag,null
brdrthtnmg,Paragraph Text,Flag,null
brdrthtnsg,Paragraph Text,Flag,null
brdrtnthlg,Paragraph Text,Flag,null
brdrtnthmg,Paragraph Text,Flag,null
brdrtnthsg,Paragraph Text,Flag,null
brdrtnthtnlg,Paragraph Text,Flag,null
brdrtnthtnmg,Paragraph Text,Flag,null
brdrtnthtnsg,Paragraph Text,Flag,null
brdrtriple,Paragraph Text,Flag,null
brdrw,Paragraph Borders,Value,null
brdrwavy,Paragraph Text,Flag,null
brdrwavydb,Paragraph Text,Flag,null
brkfrm,Document Formatting Properties,Flag,null
brsp,Paragraph Borders,Value,null
bullet,Special Characters,Symbol,null
buptim,Information Group,Destination,null
bxe,Index Entries,Flag,null
cachedcolbal,Document Formatting Properties,Flag,null
caps,Font (Character) Formatting Properties,Toggle,toggle_emph
category,Information Group,Destination,null
cb,Font (Character) Formatting Properties,Value,null
cbpat,Paragraph Shading,Value,null
cchs,Font (Character) Formatting Properties,Value,null
cell,Special Characters,Symbol,null
cellx,Table Definitions,Value,null
cf,Font (Character) Formatting Properties,Value,null
cfpat,Paragraph Shading,Value,null
cgrid,Font (Character) Formatting Properties,Value,null
charrsid,Track Changes (Revision Marks),Value,null
charscalex,Font (Character) Formatting Properties,Value,null
charscalex,Character Text,Value,null
chatn,Special Characters,Symbol,null
chbgbdiag,Character Text,Flag,null
chbgcross,Character Text,Flag,null
chbgdcross,Character Text,Flag,null
chbgdkbdiag,Character Text,Flag,null
chbgdkcross,Character Text,Flag,null
chbgdkdcross,Character Text,Flag,null
chbgdkfdiag,Character Text,Flag,null
chbgdkhoriz,Character Text,Flag,null
chbgdkvert,Character Text,Flag,null
chbgfdiag,Character Text,Flag,null
chbghoriz,Character Text,Flag,null
chbgvert,Character Text,Flag,null
chbrdr,Character Text,Flag,null
chcbpat,Character Text,Value,null
chcfpat,Character Text,Value,null
chdate,Special Characters,Symbol,null
chdpa,Special Characters,Symbol,null
chdpl,Special Characters,Symbol,null
chftn,Special Characters,Symbol,null
chftnsep,Special Characters,Symbol,null
chftnsepc,Special Characters,Symbol,null
chpgn,Special Characters,Symbol,null
chshdng,Character Text,Value,null
chtime,Special Characters,Symbol,null
clbgbdiag,Table Definitions,Flag,null
clbgcross,Table Definitions,Flag,null
clbgdcross,Table Definitions,Flag,null
clbgdkbdiag,Table Definitions,Flag,null
clbgdkcross,Table Definitions,Flag,null
clbgdkdcross,Table Definitions,Flag,null
clbgdkfdiag,Table Definitions,Flag,null
clbgdkhor,Table Definitions,Flag,null
clbgdkvert,Table Definitions,Flag,null
clbgfdiag,Table Definitions,Flag,null
clbghoriz,Table Definitions,Flag,null
clbgvert,Table Definitions,Flag,null
clbrdrb,Table Definitions,Flag,null
clbrdrl,Table Definitions,Flag,null
clbrdrr,Table Definitions,Flag,null
clbrdrt,Table Definitions,Flag,null
clcbpat,Table Definitions,Value,null
clcbpatraw,Table Definitions,Value,null
clcfpat,Table Definitions,Value,null
clcfpatraw,Table Definitions,Value,null
cldgll,Table Definitions,Flag,null
cldglu,Table Definitions,Flag,null
clFitText,Table Definitions,Flag,null
clftsWidth,Table Definitions,Value,null
clmgf,Table Definitions,Flag,null
clmrg,Table Definitions,Flag,null
clNoWrap,Table Definitions,Flag,null
clpadb,Table Definitions,Value,null
clpadfb,Table Definitions,Value,null
clpadfl,Table Definitions,Value,null
clpadfr,Table Definitions,Value,null
clpadft,Table Definitions,Value,null
clpadl,Table Definitions,Value,null
clpadr,Table Definitions,Value,null
clpadt,Table Definitions,Value,null
clshdng,Table Definitions,Value,null
clshdngraw,Table Definitions,Value,null
clshdrawnil,Table Definitions,Flag,null
cltxbtlr,Table Definitions,Flag,null
cltxlrtb,Table Definitions,Flag,null
cltxlrtb,Table Definitions,Flag,null
cltxlrtbv,Table Definitions,Flag,null
cltxtbrl,Table Definitions,Flag,null
cltxtbrl,Table Definitions,Flag,null
cltxtbrlv,Table Definitions,Flag,null
clvertalb,Table Definitions,Flag,null
clvertalc,Table Definitions,Flag,null
clvertalt,Table Definitions,Flag,null
clvmgf,Table Definitions,Flag,null
clvmrg,Table Definitions,Flag,null
clwWidth,Table Definitions,Value,null
collapsed,Paragraph Formatting Properties,Flag,null
colno,Section Formatting Properties,Value,null
colortbl,Color Table,Destination,null
cols,Section Formatting Properties,Value,null
colsr,Section Formatting Properties,Value,null
colsx,Section Formatting Properties,Value,null
column,Special Characters,Symbol,null
colw,Section Formatting Properties,Value,null
comment,Information Group,Destination,null
company,Information Group,Destination,null
cpg,Code Page Support,Value,null
crauth,Character Text,Value,null
crdate,Character Text,Value,null
creatim,Information Group,Destination,null
cs,Font (Character) Formatting Properties,Value,null
ctrl,Style Sheet,Flag,null
cts,Document Formatting Properties,Value,null
cufi,Paragraph Formatting Properties,Value,null
culi,Paragraph Formatting Properties,Value,null
curi,Paragraph Formatting Properties,Value,null
cvmme,Document Formatting Properties,Flag,null
datafield,Fields,Destination,null
date,Fields,Flag,null
dbch,Associated Character Properties,Flag,null
deff,Font Table,Value,null
defformat,Document Formatting Properties,Flag,null
deflang,Document Formatting Properties,Value,null
deflangfe,Document Formatting Properties,Value,null
defshp,Pictures,Flag,null
deftab,Document Formatting Properties,Value,null
deleted,Font (Character) Formatting Properties,Toggle,toggle
delrsid,Track Changes (Revision Marks),Value,null
dfrauth,Paragraph Text,Value,null
dfrdate,Paragraph Text,Value,null
dfrmtxtx,Positioned Objects and Frames,Value,null
dfrmtxty,Positioned Objects and Frames,Value,null
dfrstart,Paragraph Text,Value,null
dfrstop,Paragraph Text,Value,null
dfrxst,Paragraph Text,Value,null
dghorigin,Document Formatting Properties,Value,null
dghshow,Document Formatting Properties,Value,null
dghspace,Document Formatting Properties,Value,null
dgmargin,Document Formatting Properties,Flag,null
dgsnap,Document Formatting Properties,Flag,null
dgvorigin,Document Formatting Properties,Value,null
dgvshow,Document Formatting Properties,Value,null
dgvspace,Document Formatting Properties,Value,null
dibitmap,Pictures,Value,null
dn,Font (Character) Formatting Properties,Value,null
dntblnsbdb,Document Formatting Properties,Flag,null
do,Drawing Objects,Destination,null
dobxcolumn,Drawing Objects,Flag,null
dobxmargin,Drawing Objects,Flag,null
dobxpage,Drawing Objects,Flag,null
dobymargin,Drawing Objects,Flag,null
dobypage,Drawing Objects,Flag,null
dobypara,Drawing Objects,Flag,null
doccomm,Information Group,Destination,null
doctemp,Document Formatting Properties,Flag,null
doctype,Document Formatting Properties,Value,null
docvar,Document Variables,Destination,null
dodhgt,Drawing Objects,Value,null
dolock,Drawing Objects,Flag,null
donotembedlingdata,Document Formatting Properties,Value,null
donotembedsysfont,Document Formatting Properties,Value,null
donotshowcomments,Document Formatting Properties,Flag,null
donotshowinsdel,Document Formatting Properties,Flag,null
donotshowmarkup,Document Formatting Properties,Flag,null
donotshowprops,Document Formatting Properties,Flag,null
dpaendhol,Drawing Objects,Flag,null
dpaendl,Drawing Objects,Value,null
dpaendsol,Drawing Objects,Flag,null
dpaendw,Drawing Objects,Value,null
dparc,Drawing Objects,Flag,null
dparcflipx,Drawing Objects,Flag,null
dparcflipy,Drawing Objects,Flag,null
dpastarthol,Drawing Objects,Flag,null
dpastartl,Drawing Objects,Value,null
dpastartsol,Drawing Objects,Flag,null
dpastartw,Drawing Objects,Value,null
dpcallout,Drawing Objects,Flag,null
dpcoa,Drawing Objects,Value,null
dpcoaccent,Drawing Objects,Flag,null
dpcobestfit,Drawing Objects,Flag,null
dpcoborder,Drawing Objects,Flag,null
dpcodabs,Drawing Objects,Value,null
dpcodbottom,Drawing Objects,Flag,null
dpcodcenter,Drawing Objects,Flag,null
dpcodescent,Drawing Objects,Value,null
dpcodtop,Drawing Objects,Flag,null
dpcolength,Drawing Objects,Value,null
dpcominusx,Drawing Objects,Flag,null
dpcominusy,Drawing Objects,Flag,null
dpcooffset,Drawing Objects,Value,null
dpcosmarta,Drawing Objects,Flag,null
dpcotdouble,Drawing Objects,Flag,null
dpcotright,Drawing Objects,Flag,null
dpcotsingle,Drawing Objects,Flag,null
dpcottriple,Drawing Objects,Flag,null
dpcount,Drawing Objects,Value,null
dpellipse,Drawing Objects,Flag,null
dpendgroup,Drawing Objects,Flag,null
dpfillbgcb,Drawing Objects,Value,null
dpfillbgcg,Drawing Objects,Value,null
dpfillbgcr,Drawing Objects,Value,null
dpfillbggray,Drawing Objects,Value,null
dpfillbgpal,Drawing Objects,Flag,null
dpfillfgcb,Drawing Objects,Value,null
dpfillfgcg,Drawing Objects,Value,null
dpfillfgcr,Drawing Objects,Value,null
dpfillfggray,Drawing Objects,Value,null
dpfillfgpal,Drawing Objects,Flag,null
dpfillpat,Drawing Objects,Value,null
dpgroup,Drawing Objects,Flag,null
dpline,Drawing Objects,Flag,null
dplinecob,Drawing Objects,Value,null
dplinecog,Drawing Objects,Value,null
dplinecor,Drawing Objects,Value,null
dplinedado,Drawing Objects,Flag,null
dplinedadodo,Drawing Objects,Flag,null
dplinedash,Drawing Objects,Flag,null
dplinedot,Drawing Objects,Flag,null
dplinegray,Drawing Objects,Value,null
dplinehollow,Drawing Objects,Flag,null
dplinepal,Drawing Objects,Flag,null
dplinesolid,Drawing Objects,Flag,null
dplinew,Drawing Objects,Value,null
dppolycount,Drawing Objects,Value,null
dppolygon,Drawing Objects,Flag,null
dppolyline,Drawing Objects,Flag,null
dpptx,Drawing Objects,Value,null
dppty,Drawing Objects,Value,null
dprect,Drawing Objects,Flag,null
dproundr,Drawing Objects,Flag,null
dpshadow,Drawing Objects,Flag,null
dpshadx,Drawing Objects,Value,null
dpshady,Drawing Objects,Value,null
dptxbtlr,Drawing Objects,Flag,null
dptxbx,Drawing Objects,Flag,null
dptxbxmar,Drawing Objects,Value,null
dptxbxtext,Drawing Objects,Destination,null
dptxlrtb,Drawing Objects,Flag,null
dptxlrtbv,Drawing Objects,Flag,null
dptxtbrl,Drawing Objects,Flag,null
dptxtbrlv,Drawing Objects,Flag,null
dpx,Drawing Objects,Value,null
dpxsize,Drawing Objects,Value,null
dpy,Drawing Objects,Value,null
dpysize,Drawing Objects,Value,null
dropcapli,Positioned Objects and Frames,Value,null
dropcapt,Positioned Objects and Frames,Value,null
ds,Section Formatting Properties,Value,null
dxfrtext,Positioned Objects and Frames,Value,null
dy,Information Group,Value,null
edmins,Information Group,Value,null
embo,Character Text,Toggle,toggle
emdash,Special Characters,Symbol,null
emfblip,Pictures,Flag,null
emspace,Special Characters,Symbol,null
endash,Special Characters,Symbol,null
enddoc,Document Formatting Properties,Flag,null
endnhere,Section Formatting Properties,Flag,null
endnotes,Document Formatting Properties,Flag,null
enforceprot,Document Formatting Properties,Value,null
enspace,Special Characters,Symbol,null
expnd,Font (Character) Formatting Properties,Value,null
expndtw,Font (Character) Formatting Properties,Value,null
expshrtn,Document Formatting Properties,Flag,null
f,Font (Character) Formatting Properties,Value,null
faauto,Paragraph Formatting Properties,Value,null
facenter,Paragraph Formatting Properties,Flag,null
facingp,Document Formatting Properties,Flag,null
fahang,Paragraph Formatting Properties,Flag,null
falt,Font Table,Destination,null
faroman,Paragraph Formatting Properties,Flag,null
favar,Paragraph Formatting Properties,Flag,null
fbias,Font Table,Value,null
fbidi,Font Table,Flag,null
fchars,Document Formatting Properties,Destination,null
fcharset,Font Table,Value,null
fdecor,Font Table,Flag,null
felnbrelev,Document Formatting Properties,Flag,null
felnbrelev,Document Formatting Properties,Flag,null
fet,Document Formatting Properties,Value,null
fetch,Font Table,Flag,null
ffdefres,Form Fields,Value,null
ffdeftext,Form Fields,Destination,null
ffentrymcr,Form Fields,Destination,null
ffexitmcr,Form Fields,Destination,null
ffformat,Form Fields,Destination,null
ffhaslistbox,Form Fields,Value,null
ffhelptext,Form Fields,Destination,null
ffhps,Form Fields,Value,null
ffl,Form Fields,Destination,null
ffmaxlen,Form Fields,Value,null
ffname,Form Fields,Destination,null
ffownhelp,Form Fields,Value,null
ffownstat,Form Fields,Value,null
ffprot,Form Fields,Value,null
ffrecalc,Form Fields,Value,null
ffres,Form Fields,Value,null
ffsize,Form Fields,Value,null
ffstattext,Form Fields,Destination,null
fftype,Form Fields,Value,null
fftypetxt,Form Fields,Value,null
fi,Paragraph Formatting Properties,Value,null
fid,File Table,Value,null
fIddirty,Fields,Flag,null
field,Fields,Destination,null
file,File Table,Destination,null
filetbl,File Table,Destination,null
fittext,Font (Character) Formatting Properties,Value,null
fldalt,Document Formatting Properties,Flag,null
fldedit,Fields,Flag,null
fldinst,Fields,Destination,null
fldlock,Fields,Flag,null
fldpriv,Fields,Flag,null
fldrslt,Fields,Destination,null
fldtype,Fields,Destination,null
fmodern,Font Table,Flag,null
fn,Style Sheet,Value,null
fname,Font Table,Destination,null
fnetwork,File Table,Flag,null
fnil,Font Table,Flag,null
fnonfilesys,File Table,Flag,null
fontemb,Font Table,Destination,null
fontfile,Font Table,Destination,null
fonttbl,Font Table,Destination,null
footer,Headers and Footers,Destination,null
footer,Headers and Footers,Destination,null
footerf,Headers and Footers,Destination,null
footerl,Headers and Footers,Destination,null
footery,Section Formatting Properties,Value,null
footnote,Footnotes,Destination,null
formdisp,Document Formatting Properties,Flag,null
formfield,Form Fields,Destination,null
formprot,Document Formatting Properties,Flag,null
formshade,Document Formatting Properties,Flag,null
fosnum,File Table,Value,null
fprq,Font Table,Value,null
fracwidth,Document Formatting Properties,Flag,null
frelative,File Table,Value,null
frmtxbtlr,Positioned Objects and Frames,Flag,null
frmtxlrtb,Positioned Objects and Frames,Flag,null
frmtxlrtbv,Positioned Objects and Frames,Flag,null
